sentence,subj_type,subj_PERS,subj_NUM,subj_GEN,subj_ANIM,verb_type,verb_PERS,verb_NUM,verb_finite,has_main,has_embed,has_objrel,has_relative_clause,has_subjrel,incongruence_poss_subj_count,incongruence_poss_obj_count,incongruence_subj_obj_count,incongruence_subj_embedsubj_count,rel_type,clause_type,bound_variable,mean_zipf,sentence_length,long_range_agreement_with_attractor
Mary plays.,PropN,3.0,sg,f,True,Intrans,3.0,sg,True,False,False,False,False,False,,,,,,,,4.0,3,
Mary played.,PropN,3.0,sg,f,True,Intrans,,,True,False,False,False,False,False,,,,,,,,5.0,3,
Mary falls.,PropN,3.0,sg,f,True,Intrans,3.0,sg,True,False,False,False,False,False,,,,,,,,4.0,3,
Mary fell.,PropN,3.0,sg,f,True,Intrans,,,True,False,False,False,False,False,,,,,,,,4.0,3,
Mary sees John.,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,4,
Mary sees the woman.,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,5,
Mary sees the man.,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
Mary sees the women.,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
Mary sees the men.,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,5,
Mary sees the book.,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
Mary sees the books.,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,2.0,,,,,4.0,5,
Mary sees every woman.,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,0.0,,,,,4.0,5,
Mary sees every man.,PropN,3.0,sg,f,True,Trans,3.0,sg,True,False,False,False,False,False,,,1.0,,,,,4.0,5,
