Feat. 1,Feat. 2,Feat. 3,Feat. 4,Feat. 5,Feat. 6,Feat. 7,Feat. 8,Feat. 9,Feat. 10,Feat. 11,Feat. 12,Feat. 13,Feat. 14,Feat. 15,Feat. 16
A,A,B,B,A,A,B,B,B,A,B,A,A,B,A,B
B,B,B,A,B,B,A,A,A,B,B,A,A,B,A,B
A,B,A,A,B,A,A,A,B,A,B,A,B,A,B,B
B,A,A,A,A,A,B,B,B,A,A,A,B,A,B,A
A,A,A,A,A,A,A,B,A,A,B,A,A,B,A,A
A,B,A,A,B,B,A,B,A,B,A,A,B,B,B,A
B,B,A,A,A,A,A,B,A,A,B,B,B,B,B,B
A,B,B,A,B,A,A,A,B,A,B,A,B,B,B,A
A,A,A,B,A,B,B,B,A,B,B,A,B,A,A,A
B,A,A,B,B,A,B,A,A,A,B,B,A,A,B,A
B,B,B,B,B,B,A,B,A,A,B,A,A,A,A,A
B,A,A,A,B,A,B,A,B,A,A,A,B,B,A,B
A,B,B,A,A,B,A,B,A,B,B,B,A,A,A,B
B,B,A,B,A,A,B,A,B,A,B,B,B,B,B,B
A,B,A,B,B,A,B,B,A,A,B,A,A,B,B,B
A,B,A,A,A,B,A,A,A,B,B,A,A,A,B,B
A,A,B,A,B,A,A,B,B,B,A,A,B,A,A,A
B,A,B,B,A,A,A,A,B,A,B,A,A,A,B,B
A,B,B,B,A,A,A,A,A,B,B,B,A,A,A,B
B,A,B,A,A,A,A,B,B,B,A,B,B,B,B,B
A,A,B,A,B,B,A,A,A,A,A,B,B,A,A,A
B,B,B,A,B,A,A,B,B,A,B,B,A,B,A,B
B,B,A,B,B,B,A,A,B,B,B,A,A,A,B,A
A,A,B,B,A,B,B,B,A,A,A,B,A,B,B,B
B,A,B,A,A,A,B,A,B,A,A,B,B,B,A,B
B,A,B,A,B,A,A,B,B,B,A,A,B,B,B,B
A,A,A,B,A,B,A,B,B,A,A,A,A,B,A,B
A,A,A,B,A,A,B,B,B,B,B,B,B,A,B,B
B,B,A,A,A,B,A,B,A,A,A,A,A,A,B,B
A,B,B,B,B,A,B,A,B,B,B,B,A,B,B,A
B,A,A,B,B,B,B,B,B,A,B,B,B,B,B,A
B,A,B,A,A,A,A,A,B,A,A,B,B,A,A,A
B,A,A,A,A,B,B,B,B,B,B,A,B,A,A,A
A,A,B,A,B,A,A,A,A,A,B,A,A,B,A,B
A,A,B,B,A,B,B,A,A,B,B,A,B,B,B,A
B,B,A,A,A,A,B,A,B,A,A,B,B,A,B,A
A,B,B,A,A,B,B,B,B,A,B,A,A,A,A,B
A,B,A,A,A,A,A,A,B,B,A,A,A,A,A,B
A,B,B,B,B,A,B,A,B,B,B,A,B,A,B,A
A,B,B,B,B,B,A,B,B,B,B,B,A,B,A,B
A,B,B,A,A,B,B,A,A,B,A,B,B,A,A,B
B,B,B,B,A,A,A,A,B,B,B,A,B,A,B,B
A,A,B,A,A,A,B,B,A,B,B,B,B,B,A,A
B,B,B,A,B,B,A,B,A,A,B,B,A,A,A,B
A,A,A,B,A,B,B,A,B,A,B,A,B,A,B,B
B,A,B,B,A,B,B,A,A,B,A,B,B,A,B,B
B,A,A,A,B,B,B,A,B,A,B,B,A,A,B,B
B,B,B,B,A,B,B,B,B,B,A,B,A,A,A,B
B,A,B,A,A,B,A,A,B,B,A,A,A,B,A,A
A,B,A,B,A,B,B,A,A,A,B,B,B,B,A,A
A,B,A,B,A,A,B,A,A,B,B,B,B,A,B,A
B,A,B,A,B,A,A,A,B,B,B,A,A,A,B,A
A,A,B,B,B,A,A,B,A,A,B,A,A,A,B,B
B,B,B,B,A,A,B,B,A,A,B,A,A,A,B,A
B,A,A,B,B,B,A,A,B,A,B,B,A,A,B,A
B,B,A,A,A,A,B,A,B,B,B,A,A,B,B,B
A,B,B,A,B,B,B,A,A,B,A,A,B,A,A,A
B,B,B,B,A,A,A,A,A,B,B,A,A,A,A,A
A,B,B,B,A,A,A,A,A,B,A,A,A,B,B,B
A,A,A,A,B,B,B,A,B,B,A,B,B,B,B,A
A,A,B,A,B,B,B,B,A,A,B,A,A,B,B,A
B,A,B,B,A,B,A,A,A,A,B,B,B,A,A,B
B,A,A,B,A,B,B,B,A,B,A,B,B,A,A,B
A,A,A,A,B,A,A,B,A,A,B,B,B,B,B,A
A,A,B,B,A,A,A,A,B,A,B,B,A,A,A,B
A,A,B,B,A,B,A,B,A,B,A,A,A,A,A,A
A,A,A,B,B,B,A,A,A,B,A,A,B,A,A,A
A,B,A,B,B,A,A,A,A,B,A,B,B,A,A,A
A,B,A,A,B,A,B,A,B,B,A,A,A,B,A,A
B,A,A,A,A,A,A,A,A,B,A,B,A,B,B,A
B,A,A,A,B,B,B,B,B,B,B,A,A,B,B,A
B,A,A,A,A,A,B,A,B,A,A,A,A,B,A,B
A,A,A,B,B,A,B,B,B,A,A,B,B,A,A,A
A,A,A,A,A,A,B,B,B,B,B,B,A,A,A,A
A,A,B,A,A,B,B,B,A,A,B,B,A,A,A,B
A,A,B,B,A,A,A,B,A,B,A,A,A,A,B,A
A,A,A,A,A,B,A,B,B,A,B,B,A,A,A,B
A,B,A,B,B,B,A,A,A,B,B,A,A,B,B,A
B,B,B,A,A,B,A,A,B,A,B,A,A,B,B,B
A,B,B,A,B,A,A,A,B,B,A,A,A,B,B,B
A,A,A,A,A,A,A,B,A,A,B,B,B,A,B,B
A,B,B,A,A,A,B,B,B,B,A,A,A,A,A,A
B,B,B,B,B,A,A,B,A,A,B,A,A,B,B,B
B,B,A,A,A,A,B,A,A,B,B,B,B,B,A,B
A,B,A,B,A,A,B,A,A,A,A,A,B,A,A,B
B,A,B,A,A,B,B,B,A,A,B,B,A,A,B,A
A,B,B,B,B,A,A,A,A,A,A,B,A,B,B,B
