sentence,sentence_GROUP,subj_TYPE,subj_ANIM,subj_GEN,subj_NUM,subj_PERS,sentence_TENSE,verb_ZIPF
Mary plays.,sv,PropN,True,f,sg,3,pres,4.5
Mary sings.,sv,PropN,True,f,sg,3,pres,3.5
Mary sneezes.,sv,PropN,True,f,sg,3,pres,2.5
Mary played.,sv,PropN,True,f,sg,3,past,4.5
Mary sang.,sv,PropN,True,f,sg,3,past,3.5
Mary sneezed.,sv,PropN,True,f,sg,3,past,2.5
Mary falls.,sv,PropN,True,f,sg,3,pres,4.5
Mary disappears.,sv,PropN,True,f,sg,3,pres,3.5
Mary vanishes.,sv,PropN,True,f,sg,3,pres,3.0
Mary fell.,sv,PropN,True,f,sg,3,past,4.5
Mary disappeared.,sv,PropN,True,f,sg,3,past,3.5
Mary vanished.,sv,PropN,True,f,sg,3,past,3.0
Patricia plays.,sv,PropN,True,f,sg,3,pres,4.5
Patricia sings.,sv,PropN,True,f,sg,3,pres,3.5
Patricia sneezes.,sv,PropN,True,f,sg,3,pres,2.5
Patricia played.,sv,PropN,True,f,sg,3,past,4.5
Patricia sang.,sv,PropN,True,f,sg,3,past,3.5
Patricia sneezed.,sv,PropN,True,f,sg,3,past,2.5
Patricia falls.,sv,PropN,True,f,sg,3,pres,4.5
Patricia disappears.,sv,PropN,True,f,sg,3,pres,3.5
Patricia vanishes.,sv,PropN,True,f,sg,3,pres,3.0
Patricia fell.,sv,PropN,True,f,sg,3,past,4.5
Patricia disappeared.,sv,PropN,True,f,sg,3,past,3.5
Patricia vanished.,sv,PropN,True,f,sg,3,past,3.0
Lori plays.,sv,PropN,True,f,sg,3,pres,4.5
Lori sings.,sv,PropN,True,f,sg,3,pres,3.5
Lori sneezes.,sv,PropN,True,f,sg,3,pres,2.5
Lori played.,sv,PropN,True,f,sg,3,past,4.5
Lori sang.,sv,PropN,True,f,sg,3,past,3.5
Lori sneezed.,sv,PropN,True,f,sg,3,past,2.5
Lori falls.,sv,PropN,True,f,sg,3,pres,4.5
Lori disappears.,sv,PropN,True,f,sg,3,pres,3.5
Lori vanishes.,sv,PropN,True,f,sg,3,pres,3.0
Lori fell.,sv,PropN,True,f,sg,3,past,4.5
Lori disappeared.,sv,PropN,True,f,sg,3,past,3.5
Lori vanished.,sv,PropN,True,f,sg,3,past,3.0
John plays.,sv,PropN,True,m,sg,3,pres,4.5
John sings.,sv,PropN,True,m,sg,3,pres,3.5
John sneezes.,sv,PropN,True,m,sg,3,pres,2.5
John played.,sv,PropN,True,m,sg,3,past,4.5
John sang.,sv,PropN,True,m,sg,3,past,3.5
John sneezed.,sv,PropN,True,m,sg,3,past,2.5
John falls.,sv,PropN,True,m,sg,3,pres,4.5
John disappears.,sv,PropN,True,m,sg,3,pres,3.5
John vanishes.,sv,PropN,True,m,sg,3,pres,3.0
John fell.,sv,PropN,True,m,sg,3,past,4.5
John disappeared.,sv,PropN,True,m,sg,3,past,3.5
John vanished.,sv,PropN,True,m,sg,3,past,3.0
Bob plays.,sv,PropN,True,m,sg,3,pres,4.5
Bob sings.,sv,PropN,True,m,sg,3,pres,3.5
Bob sneezes.,sv,PropN,True,m,sg,3,pres,2.5
Bob played.,sv,PropN,True,m,sg,3,past,4.5
Bob sang.,sv,PropN,True,m,sg,3,past,3.5
Bob sneezed.,sv,PropN,True,m,sg,3,past,2.5
Bob falls.,sv,PropN,True,m,sg,3,pres,4.5
Bob disappears.,sv,PropN,True,m,sg,3,pres,3.5
Bob vanishes.,sv,PropN,True,m,sg,3,pres,3.0
Bob fell.,sv,PropN,True,m,sg,3,past,4.5
Bob disappeared.,sv,PropN,True,m,sg,3,past,3.5
Bob vanished.,sv,PropN,True,m,sg,3,past,3.0
Lex plays.,sv,PropN,True,m,sg,3,pres,4.5
Lex sings.,sv,PropN,True,m,sg,3,pres,3.5
