sentence,prep_LEMMA,sentence_PP_attached,subj_NUM,subj_GEN,subj_ZIPF,obj_NUM,obj_GEN,obj_ZIPF,embedobj_NUM,embedobj_GEN,embedobj_ZIPF,verb_LEMMA
the woman sees the girl near the lady.,near,peripheral,sg,f,5.35,sg,f,5.38,sg,f,4.95,see
the woman near the lady sees the girl.,near,center_embedding,sg,f,5.35,sg,f,5.38,sg,f,4.95,see
the woman sees the girl behind the lady.,behind,peripheral,sg,f,5.35,sg,f,5.38,sg,f,4.95,see
the woman behind the lady sees the girl.,behind,center_embedding,sg,f,5.35,sg,f,5.38,sg,f,4.95,see
the woman likes the girl near the lady.,near,peripheral,sg,f,5.35,sg,f,5.38,sg,f,4.95,like
the woman near the lady likes the girl.,near,center_embedding,sg,f,5.35,sg,f,5.38,sg,f,4.95,like
the woman likes the girl behind the lady.,behind,peripheral,sg,f,5.35,sg,f,5.38,sg,f,4.95,like
the woman behind the lady likes the girl.,behind,center_embedding,sg,f,5.35,sg,f,5.38,sg,f,4.95,like
the woman sees the girl near the ladies.,near,peripheral,sg,f,5.35,sg,f,5.38,pl,f,4.95,see
the woman near the ladies sees the girl.,near,center_embedding,sg,f,5.35,sg,f,5.38,pl,f,4.95,see
the woman sees the girl behind the ladies.,behind,peripheral,sg,f,5.35,sg,f,5.38,pl,f,4.95,see
the woman behind the ladies sees the girl.,behind,center_embedding,sg,f,5.35,sg,f,5.38,pl,f,4.95,see
the woman likes the girl near the ladies.,near,peripheral,sg,f,5.35,sg,f,5.38,pl,f,4.95,like
the woman near the ladies likes the girl.,near,center_embedding,sg,f,5.35,sg,f,5.38,pl,f,4.95,like
the woman likes the girl behind the ladies.,behind,peripheral,sg,f,5.35,sg,f,5.38,pl,f,4.95,like
the woman behind the ladies likes the girl.,behind,center_embedding,sg,f,5.35,sg,f,5.38,pl,f,4.95,like
the woman sees the girls near the lady.,near,peripheral,sg,f,5.35,pl,f,5.38,sg,f,4.95,see
the woman near the lady sees the girls.,near,center_embedding,sg,f,5.35,pl,f,5.38,sg,f,4.95,see
the woman sees the girls behind the lady.,behind,peripheral,sg,f,5.35,pl,f,5.38,sg,f,4.95,see
the woman behind the lady sees the girls.,behind,center_embedding,sg,f,5.35,pl,f,5.38,sg,f,4.95,see
the woman likes the girls near the lady.,near,peripheral,sg,f,5.35,pl,f,5.38,sg,f,4.95,like
the woman near the lady likes the girls.,near,center_embedding,sg,f,5.35,pl,f,5.38,sg,f,4.95,like
the woman likes the girls behind the lady.,behind,peripheral,sg,f,5.35,pl,f,5.38,sg,f,4.95,like
the woman behind the lady likes the girls.,behind,center_embedding,sg,f,5.35,pl,f,5.38,sg,f,4.95,like
the woman sees the girls near the ladies.,near,peripheral,sg,f,5.35,pl,f,5.38,pl,f,4.95,see
the woman near the ladies sees the girls.,near,center_embedding,sg,f,5.35,pl,f,5.38,pl,f,4.95,see
the woman sees the girls behind the ladies.,behind,peripheral,sg,f,5.35,pl,f,5.38,pl,f,4.95,see
the woman behind the ladies sees the girls.,behind,center_embedding,sg,f,5.35,pl,f,5.38,pl,f,4.95,see
