word,sentence_id,lexical_n_letters,grammatical_gender,grammatical_number,grammatical_pos,grammatical_tense,grammatical_person,sequential_posit_from_start,sentential_question,structural_depth_in_tree
the,0,1,,,DT,,,0,False,2.0
woman,0,2,f,sg,N,,3.0,1,False,1.0
plays,0,2,,sg,N,pres,3.0,2,False,0.0
the,1,1,,,DT,,,0,False,2.0
woman,1,2,f,sg,N,,3.0,1,False,1.0
sings,1,2,,sg,N,pres,3.0,2,False,0.0
the,2,1,,,DT,,,0,False,2.0
woman,2,2,f,sg,N,,3.0,1,False,1.0
sneezes,2,3,,sg,N,pres,3.0,2,False,0.0
the,3,1,,,DT,,,0,False,2.0
woman,3,2,f,sg,N,,3.0,1,False,1.0
played,3,2,,,N,past,,2,False,0.0
the,4,1,,,DT,,,0,False,2.0
woman,4,2,f,sg,N,,3.0,1,False,1.0
sang,4,2,,,N,past,,2,False,0.0
the,5,1,,,DT,,,0,False,2.0
woman,5,2,f,sg,N,,3.0,1,False,1.0
sneezed,5,3,,,V,past,,2,False,0.0
the,6,1,,,DT,,,0,False,2.0
woman,6,2,f,sg,N,,3.0,1,False,1.0
falls,6,2,,sg,N,pres,3.0,2,False,0.0
the,7,1,,,DT,,,0,False,2.0
woman,7,2,f,sg,N,,3.0,1,False,1.0
disappears,7,3,,sg,N,pres,3.0,2,False,0.0
the,8,1,,,DT,,,0,False,2.0
woman,8,2,f,sg,N,,3.0,1,False,1.0
vanishes,8,3,,sg,N,pres,3.0,2,False,0.0
the,9,1,,,DT,,,0,False,2.0
woman,9,2,f,sg,N,,3.0,1,False,1.0
fell,9,2,,,V,past,,2,False,0.0
the,10,1,,,DT,,,0,False,2.0
woman,10,2,f,sg,N,,3.0,1,False,1.0
disappeared,10,3,,,V,past,,2,False,0.0
the,11,1,,,DT,,,0,False,2.0
woman,11,2,f,sg,N,,3.0,1,False,1.0
vanished,11,3,,,N,past,,2,False,0.0
the,12,1,,,DT,,,0,False,2.0
man,12,1,m,sg,N,,3.0,1,False,1.0
plays,12,2,,sg,N,pres,3.0,2,False,0.0
the,13,1,,,DT,,,0,False,2.0
man,13,1,m,sg,N,,3.0,1,False,1.0
sings,13,2,,sg,N,pres,3.0,2,False,0.0
the,14,1,,,DT,,,0,False,2.0
man,14,1,m,sg,N,,3.0,1,False,1.0
sneezes,14,3,,sg,N,pres,3.0,2,False,0.0
the,15,1,,,DT,,,0,False,2.0
man,15,1,m,sg,N,,3.0,1,False,1.0
played,15,2,,,N,past,,2,False,0.0
the,16,1,,,DT,,,0,False,2.0
man,16,1,m,sg,N,,3.0,1,False,1.0
sang,16,2,,,N,past,,2,False,0.0
the,17,1,,,DT,,,0,False,2.0
man,17,1,m,sg,N,,3.0,1,False,1.0
