sentence,sentence_GROUP,sentence_length,sentence_TENSE,subj_ANIM,subj_CLAUSE,subj_GEN,subj_NUM,subj_PERS,subj_ZIPF,verb_NUM,verb_PERS,verb_ZIPF
Mary plays.,sv,3,pres,True,,f,sg,3,4.78,sg,3.0,4.84
Mary sings.,sv,3,pres,True,,f,sg,3,4.78,sg,3.0,3.89
Mary sneezes.,sv,3,pres,True,,f,sg,3,4.78,sg,3.0,2.77
Mary played.,sv,3,past,True,,f,sg,3,4.78,,,4.84
Mary sang.,sv,3,past,True,,f,sg,3,4.78,,,3.89
Mary sneezed.,sv,3,past,True,,f,sg,3,4.78,,,2.77
Mary falls.,sv,3,pres,True,,f,sg,3,4.78,sg,3.0,4.63
Mary disappears.,sv,3,pres,True,,f,sg,3,4.78,sg,3.0,3.67
Mary vanishes.,sv,3,pres,True,,f,sg,3,4.78,sg,3.0,3.02
Mary fell.,sv,3,past,True,,f,sg,3,4.78,,,4.63
Mary disappeared.,sv,3,past,True,,f,sg,3,4.78,,,3.67
Mary vanished.,sv,3,past,True,,f,sg,3,4.78,,,3.02
Patricia plays.,sv,3,pres,True,,f,sg,3,3.76,sg,3.0,4.84
Patricia sings.,sv,3,pres,True,,f,sg,3,3.76,sg,3.0,3.89
Patricia sneezes.,sv,3,pres,True,,f,sg,3,3.76,sg,3.0,2.77
Patricia played.,sv,3,past,True,,f,sg,3,3.76,,,4.84
Patricia sang.,sv,3,past,True,,f,sg,3,3.76,,,3.89
Patricia sneezed.,sv,3,past,True,,f,sg,3,3.76,,,2.77
Patricia falls.,sv,3,pres,True,,f,sg,3,3.76,sg,3.0,4.63
Patricia disappears.,sv,3,pres,True,,f,sg,3,3.76,sg,3.0,3.67
Patricia vanishes.,sv,3,pres,True,,f,sg,3,3.76,sg,3.0,3.02
Patricia fell.,sv,3,past,True,,f,sg,3,3.76,,,4.63
Patricia disappeared.,sv,3,past,True,,f,sg,3,3.76,,,3.67
Patricia vanished.,sv,3,past,True,,f,sg,3,3.76,,,3.02
Lori plays.,sv,3,pres,True,,f,sg,3,3.4,sg,3.0,4.84
Lori sings.,sv,3,pres,True,,f,sg,3,3.4,sg,3.0,3.89
Lori sneezes.,sv,3,pres,True,,f,sg,3,3.4,sg,3.0,2.77
Lori played.,sv,3,past,True,,f,sg,3,3.4,,,4.84
Lori sang.,sv,3,past,True,,f,sg,3,3.4,,,3.89
Lori sneezed.,sv,3,past,True,,f,sg,3,3.4,,,2.77
Lori falls.,sv,3,pres,True,,f,sg,3,3.4,sg,3.0,4.63
Lori disappears.,sv,3,pres,True,,f,sg,3,3.4,sg,3.0,3.67
Lori vanishes.,sv,3,pres,True,,f,sg,3,3.4,sg,3.0,3.02
Lori fell.,sv,3,past,True,,f,sg,3,3.4,,,4.63
Lori disappeared.,sv,3,past,True,,f,sg,3,3.4,,,3.67
Lori vanished.,sv,3,past,True,,f,sg,3,3.4,,,3.02
John plays.,sv,3,pres,True,,m,sg,3,5.38,sg,3.0,4.84
John sings.,sv,3,pres,True,,m,sg,3,5.38,sg,3.0,3.89
John sneezes.,sv,3,pres,True,,m,sg,3,5.38,sg,3.0,2.77
John played.,sv,3,past,True,,m,sg,3,5.38,,,4.84
John sang.,sv,3,past,True,,m,sg,3,5.38,,,3.89
John sneezed.,sv,3,past,True,,m,sg,3,5.38,,,2.77
John falls.,sv,3,pres,True,,m,sg,3,5.38,sg,3.0,4.63
John disappears.,sv,3,pres,True,,m,sg,3,5.38,sg,3.0,3.67
John vanishes.,sv,3,pres,True,,m,sg,3,5.38,sg,3.0,3.02
John fell.,sv,3,past,True,,m,sg,3,5.38,,,4.63
John disappeared.,sv,3,past,True,,m,sg,3,5.38,,,3.67
John vanished.,sv,3,past,True,,m,sg,3,5.38,,,3.02
Bob plays.,sv,3,pres,True,,m,sg,3,4.63,sg,3.0,4.84
Bob sings.,sv,3,pres,True,,m,sg,3,4.63,sg,3.0,3.89
Bob sneezes.,sv,3,pres,True,,m,sg,3,4.63,sg,3.0,2.77
Bob played.,sv,3,past,True,,m,sg,3,4.63,,,4.84
Bob sang.,sv,3,past,True,,m,sg,3,4.63,,,3.89
Bob sneezed.,sv,3,past,True,,m,sg,3,4.63,,,2.77
Bob falls.,sv,3,pres,True,,m,sg,3,4.63,sg,3.0,4.63
Bob disappears.,sv,3,pres,True,,m,sg,3,4.63,sg,3.0,3.67
Bob vanishes.,sv,3,pres,True,,m,sg,3,4.63,sg,3.0,3.02
Bob fell.,sv,3,past,True,,m,sg,3,4.63,,,4.63
Bob disappeared.,sv,3,past,True,,m,sg,3,4.63,,,3.67
Bob vanished.,sv,3,past,True,,m,sg,3,4.63,,,3.02
Lex plays.,sv,3,pres,True,,m,sg,3,3.5,sg,3.0,4.84
Lex sings.,sv,3,pres,True,,m,sg,3,3.5,sg,3.0,3.89
Lex sneezes.,sv,3,pres,True,,m,sg,3,3.5,sg,3.0,2.77
Lex played.,sv,3,past,True,,m,sg,3,3.5,,,4.84
Lex sang.,sv,3,past,True,,m,sg,3,3.5,,,3.89
Lex sneezed.,sv,3,past,True,,m,sg,3,3.5,,,2.77
Lex falls.,sv,3,pres,True,,m,sg,3,3.5,sg,3.0,4.63
Lex disappears.,sv,3,pres,True,,m,sg,3,3.5,sg,3.0,3.67
Lex vanishes.,sv,3,pres,True,,m,sg,3,3.5,sg,3.0,3.02
Lex fell.,sv,3,past,True,,m,sg,3,3.5,,,4.63
Lex disappeared.,sv,3,past,True,,m,sg,3,3.5,,,3.67
Lex vanished.,sv,3,past,True,,m,sg,3,3.5,,,3.02
the woman plays.,sv,4,pres,True,,f,sg,3,5.35,sg,3.0,4.84
the woman sings.,sv,4,pres,True,,f,sg,3,5.35,sg,3.0,3.89
the woman sneezes.,sv,4,pres,True,,f,sg,3,5.35,sg,3.0,2.77
the woman played.,sv,4,past,True,,f,sg,3,5.35,,,4.84
the woman sang.,sv,4,past,True,,f,sg,3,5.35,,,3.89
the woman sneezed.,sv,4,past,True,,f,sg,3,5.35,,,2.77
the woman falls.,sv,4,pres,True,,f,sg,3,5.35,sg,3.0,4.63
the woman disappears.,sv,4,pres,True,,f,sg,3,5.35,sg,3.0,3.67
the woman vanishes.,sv,4,pres,True,,f,sg,3,5.35,sg,3.0,3.02
the woman fell.,sv,4,past,True,,f,sg,3,5.35,,,4.63
the woman disappeared.,sv,4,past,True,,f,sg,3,5.35,,,3.67
the woman vanished.,sv,4,past,True,,f,sg,3,5.35,,,3.02
the princess plays.,sv,4,pres,True,,f,sg,3,4.53,sg,3.0,4.84
the princess sings.,sv,4,pres,True,,f,sg,3,4.53,sg,3.0,3.89
the princess sneezes.,sv,4,pres,True,,f,sg,3,4.53,sg,3.0,2.77
the princess played.,sv,4,past,True,,f,sg,3,4.53,,,4.84
the princess sang.,sv,4,past,True,,f,sg,3,4.53,,,3.89
the princess sneezed.,sv,4,past,True,,f,sg,3,4.53,,,2.77
the princess falls.,sv,4,pres,True,,f,sg,3,4.53,sg,3.0,4.63
the princess disappears.,sv,4,pres,True,,f,sg,3,4.53,sg,3.0,3.67
the princess vanishes.,sv,4,pres,True,,f,sg,3,4.53,sg,3.0,3.02
the princess fell.,sv,4,past,True,,f,sg,3,4.53,,,4.63
the princess disappeared.,sv,4,past,True,,f,sg,3,4.53,,,3.67
the princess vanished.,sv,4,past,True,,f,sg,3,4.53,,,3.02
the actress plays.,sv,4,pres,True,,f,sg,3,4.45,sg,3.0,4.84
the actress sings.,sv,4,pres,True,,f,sg,3,4.45,sg,3.0,3.89
the actress sneezes.,sv,4,pres,True,,f,sg,3,4.45,sg,3.0,2.77
the actress played.,sv,4,past,True,,f,sg,3,4.45,,,4.84
the actress sang.,sv,4,past,True,,f,sg,3,4.45,,,3.89
the actress sneezed.,sv,4,past,True,,f,sg,3,4.45,,,2.77
the actress falls.,sv,4,pres,True,,f,sg,3,4.45,sg,3.0,4.63
the actress disappears.,sv,4,pres,True,,f,sg,3,4.45,sg,3.0,3.67
the actress vanishes.,sv,4,pres,True,,f,sg,3,4.45,sg,3.0,3.02
the actress fell.,sv,4,past,True,,f,sg,3,4.45,,,4.63
the actress disappeared.,sv,4,past,True,,f,sg,3,4.45,,,3.67
the actress vanished.,sv,4,past,True,,f,sg,3,4.45,,,3.02
the man plays.,sv,4,pres,True,,m,sg,3,5.82,sg,3.0,4.84
the man sings.,sv,4,pres,True,,m,sg,3,5.82,sg,3.0,3.89
the man sneezes.,sv,4,pres,True,,m,sg,3,5.82,sg,3.0,2.77
the man played.,sv,4,past,True,,m,sg,3,5.82,,,4.84
the man sang.,sv,4,past,True,,m,sg,3,5.82,,,3.89
the man sneezed.,sv,4,past,True,,m,sg,3,5.82,,,2.77
the man falls.,sv,4,pres,True,,m,sg,3,5.82,sg,3.0,4.63
the man disappears.,sv,4,pres,True,,m,sg,3,5.82,sg,3.0,3.67
the man vanishes.,sv,4,pres,True,,m,sg,3,5.82,sg,3.0,3.02
the man fell.,sv,4,past,True,,m,sg,3,5.82,,,4.63
the man disappeared.,sv,4,past,True,,m,sg,3,5.82,,,3.67
